Remetente - Nome;Veículo - Placa;CTE;Data emissão Cte; Total ;Mês emissão Cte;REQ/TMC/N° Embarque;Data RQ/TMC;Data Envio do processo Faturamento;Faturas;Data INCLUSÃO Fatura Bsoft;1° Envio;Data do atesto;Envio final;OBSERVAÇÃO
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22321;16/jul/25;R$ 1.188,78;jul/25;521820382;16/jul/25;16/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521820382     BRA IM 25 2573 -2299 - 2301 -2300 - 2285- 2473- 2484- 2493- 2307- 2503-  DS CC 120158023 CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KQO5E26;22377;25/jul/25;R$ 950,68;jul/25;523065934;25/jul/25;25/jul/25;;;31/jul/25;;;"Carga agendada #: 523065934  - BRA IM 25 2382- 2629  PP - CC 175160000 - CONTA CONTABIL 500210;
Veiculo Placa: KQO5E26  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22319;15/jul/25;R$ 1.821,48;jul/25;521432173;15/jul/25;15/jul/25;;;21/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521432173  BRA EX 25 0295-  DS 120158023   CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;22318;15/jul/25;R$ 1.231,87;jul/25;521261742;15/jul/25;15/jul/25;;;21/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521261742    BRA EX 25 0323  ALS 140010000 CONTA CONTABIL 500210    F OUTROS 2 = AD QUIMICO Veiculo Placa: KYE1I22  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;22317;15/jul/25;R$ 2.999,06;jul/25;521261742;15/jul/25;15/jul/25;;;21/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521261742   BRA EX 25 0327  -0330 - 0305 DS 120158023  CONTA CONTABIL 500210 .  F OUTROS 2 = AD QUIMICO  Veiculo Placa: KYE1I22  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22316;14/jul/25;R$ 1.906,24;jul/25;521648879;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521648879  - BRA IM 25 2337 - 1976  PP -  CC 175160000  - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22315;14/jul/25;R$ 710,28;jul/25;521648879;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521648879  - BRA IM 25 2370  WS -  CC 110141008  - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22314;14/jul/25;R$ 685,92;jul/25;521648879;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521648879  - BRA IM 25 2482  DS -  CC 120158023 - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22313;14/jul/25;R$ 705,77;jul/25;521648879;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521648879  - BRA IM 25 2059  ALS -  CC 140010000 - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22312;14/jul/25;R$ 778,59;jul/25;521648879;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521648879  - BRA IM 25 2401  CWI -  CC 870151700 - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22311;14/jul/25;R$ 1.700,82;jul/25;521458068;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521458068  BRA IM 25 2409- 2200-  2406  PP  CC 175160000  CONTA CONTABIL 500210   Veiculo Placa: KQO5E26  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22310;14/jul/25;R$ 1.648,31;jul/25;521458068;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521458068     BRA IM 25 2435  -2050  -1367  ALS   CC 140010000  CONTA CONTABIL 500210    Veiculo Placa: KQO5E26  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22308;14/jul/25;R$ 2.457,96;jul/25;521458068;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521458068     BRA IM 25 1610-2373-   2122-  2368   WS  CC 110141008  CONTA CONTABIL 500210    Veiculo Placa: KQO5E26  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22307;14/jul/25;R$ 1.879,82;jul/25;521458068;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521458068     BRA IM 25 2340- 1775 - 2389   CWI   CC 870151700   CONTA CONTABIL 500210    Veiculo Placa: KQO5E26  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22306;14/jul/25;R$ 773,79;jul/25;521458068;14/jul/25;14/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521458068     BRA IM 25 2292  -1933-  2485   DS CC 120158023 CONTA CONTABIL 500210     Veiculo Placa: KQO5E26  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22305;11/jul/25;R$ 377,74;jul/25;521426540;11/jul/25;11/jul/25;;;15/jul/25;23/jul/25;24/jul/25;"Carga agendada #: 521426540   BRA IM 25 1477   DCF    CC 120161004  CONTA CONTABIL 500210       Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22304;11/jul/25;R$ 1.126,32;jul/25;521426540;11/jul/25;11/jul/25;;;15/jul/25;23/jul/25;24/jul/25;"Carga agendada #: 521426540    BRA IM 25 2397-2181-  2313-  1954 - 2407  PP  CC  175160000   CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22303;10/jul/25;R$ 522,43;jul/25;521426540;10/jul/25;10/jul/25;;;15/jul/25;23/jul/25;24/jul/25;"Carga agendada #: 521426540  BRA IM 25 2273-2210 - 2250-2275   DS CC 120158023 CONTA CONTABIL 500210      Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22302;10/jul/25;R$ 671,70;jul/25;521426540;10/jul/25;10/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521426540  BRA IM 25 2127 -2374   WS CC 110141008  CONTA CONTABIL 500210       Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22301;10/jul/25;R$ 385,29;jul/25;521426540;10/jul/25;10/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521426540     BRA IM 25 1826   DB CC 160053200  CONTA  CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22300;10/jul/25;R$ 658,75;jul/25;521426540;10/jul/25;10/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521426540  BRA IM 25 2395  -1816 - 1787 -2319 - 1811   CWI  CC 870151700   CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22299;10/jul/25;R$ 472,93;jul/25;521426540;10/jul/25;10/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521426540     BRAIM 25 1387 AL CC 140010000   CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KXO7J95;22298;10/jul/25;R$ 1.979,19;jul/25;521428273;10/jul/25;10/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521428273       BRA EX 25 0243- URGENTE  WS 110141008   CONTA CONTABIL 500210   Veiculo Placa: KXO7J95  -  Motorista: ROGERIO DA SILVA FERREIRA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22297;10/jul/25;R$ 1.952,19;jul/25;521125771;10/jul/25;10/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521125771   BRA EX 25 0328 - 0312  DS 120158023  CONTA CONTABIL 500210    Veiculo Placa: KQO5E26  -  Motorista: DANIEL LADEIRA PRAZERES;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
ENGEMONT USINAGEM E SERVICOS INDUSTRIAIS EIRELI;KOR7G99;22296;10/jul/25;R$ 1.812,23;jul/25;S-0671/2025;10/jul/25;10/jul/25;5024921;;10/jul/25;23/jul/25;23/jul/25;"S-0671/2025    CARGA ENTREGUE NA PERENCO NO PORTO DO AÇU   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;22295;09/jul/25;R$ 1.115,26;jul/25;521193600;09/jul/25;09/jul/25;;;15/jul/25;23/jul/25;10/jul/25;"Carga agendada #: 521193600    BRAIM 25 2170 -2171   PP CC  175160000  CONTA CONTABIL 500210     Veiculo Placa: KYE1I22  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;22294;09/jul/25;R$ 512,34;jul/25;521193600;09/jul/25;09/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521193600  BRA IM 25 2149  DCF  CC 120161004   CONTA CONTABIL 500210      Veiculo Placa: KYE1I22  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;22293;09/jul/25;R$ 1.528,74;jul/25;521193600;09/jul/25;09/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521193600     BRA IM 25 2358   - 2318 - 2388-  1991- 2322- 1766- 2331-2342- 1820  CWI   CC 870151700  CONTA CONTABIL 500210      Veiculo Placa: KYE1I22  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;22292;09/jul/25;R$ 624,78;jul/25;521193600;09/jul/25;09/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521193600    BRA IM 25 2290  -2289 -  2293-   2479    DS  CC  120158023   CONTA CONTABIL 500210    Veiculo Placa: KYE1I22  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;22291;09/jul/25;R$ 545,64;jul/25;521193600;09/jul/25;09/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521193600     BRA IM 25 1829  -1828  DB  CC 160053200  CONTA CONTABIL 500210  Veiculo Placa: KYE1I22  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;22290;09/jul/25;R$ 3.163,11;jul/25;521193600;09/jul/25;09/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521193600      BRA IM 25 2369  -2371-  2375   WS CC 110141008   CONTA CONTABIL 500210    Veiculo Placa: KYE1I22  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;LSB2007;22289;09/jul/25;R$ 931,40;jul/25;520997538;09/jul/25;09/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520997538    BRA EX 25 0332       CWI 870151700   CONTA CONTABIL 500210   Veiculo Placa: LSB2007  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KYK8231;22288;09/jul/25;R$ 1.057,99;jul/25;"520728285
";09/jul/25;09/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520728285    BRA EX 25 0311  DS 120158023   CONTA CONTABIL 500210      Veiculo Placa: KYK8231  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22287;09/jul/25;R$ 1.966,30;jul/25;"520577609
";09/jul/25;09/jul/25;;;15/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520577609       BRA EX 25 0314 DS 120158023   CONTA CONTABIL 500210  Veiculo Placa: KOR7G99  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;LSB2007;22286;09/jul/25;R$ 1.257,72;jul/25;520578104;09/jul/25;09/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520578104    BRA EX 25 0313   DS 175093101  CONTA CONTABIL 500210   F OUTROS 2 = AD QUIMICO  Veiculo Placa: LSB2007  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22284;08/jul/25;R$ 1.081,40;jul/25;"521042050
";08/jul/25;08/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521042050    BRA IM 25 1825   DB CC 160053200  CONTA CONTABIL 500210    Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22283;08/jul/25;R$ 870,67;jul/25;"521042050
";08/jul/25;08/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521042050     BRA IM 25 2136  WS   CC  110141008  CONTA CONTABIL 500210     Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22282;08/jul/25;R$ 1.171,83;jul/25;"521042050
";08/jul/25;08/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 521042050   BRA IM 25 2052   AL  CC 140010000  CONTA CONTABIL 500210    Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22281;07/jul/25;R$ 543,14;jul/25;520891739;07/jul/25;07/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520891739    BRA IM 25 2169  PP  CC 175160000 CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22280;07/jul/25;R$ 2.085,00;jul/25;520891739;07/jul/25;07/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520891739    BRA IM 25 2097  -2192  CWI  CC 870151700  CONTA CONTABIL 500210    Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22279;07/jul/25;R$ 549,63;jul/25;520891739;07/jul/25;07/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520891739   BRA IM 25 2205  DS CC 120158023 CONTA CONTABIL 500210    Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22278;07/jul/25;R$ 592,95;jul/25;520891739;07/jul/25;07/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520891739    BRA IM 25 2263  PPS   CC 150105200   CONTA CONTA CONTABIL 500210     Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22277;07/jul/25;R$ 758,20;jul/25;520891739;07/jul/25;07/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520891739      BRAIM 25 2040   ALS  CC 140010000  CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22276;07/jul/25;R$ 2.185,06;jul/25;520809613;07/jul/25;07/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520809613  -  BRAIM 25 2128  WS - CC 110141008  - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22275;07/jul/25;R$ 1.403,77;jul/25;520809613;07/jul/25;07/jul/25;;;14/jul/25;23/jul/25;23/jul/25;"Carga agendada #: 520809613  -  BRAIM 252433-2039-2049-2051 ALS - CC 140010000  - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22230;24/jun/25;R$ 1.024,86;jun/25;519432915;24/jun/25;24/jun/25;5024912;10/jul/25;22/jul/25;23/jul/25;23/jul/25;"CARGA AGENDADA #519432915  BRA IM 25 1970   - 1967 - 1968  PP  CC 175160000  CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22228;24/jun/25;R$ 887,65;jun/25;519432915;24/jun/25;24/jun/25;5024910;10/jul/25;26/jun/25;23/jul/25;23/jul/25;"CARGA AGENDADA #519432915    BRA IM 25 2023   -2144-   2020  WS CC 110141008   CONTA CONTABIL 500210    Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;LSB2007;22223;18/jun/25;R$ 969,14;jun/25;518873238;18/jun/25;18/jun/25;5024905;10/jul/25;25/jun/25;18/jun/25;03/jul/25;"Carga agendada #: 518873238 -     BRA EX 25 0281    WS 110141008  CONTA CONTABIL 500210     Veiculo Placa: LSB2007  -  Motorista: DANIEL LADEIRA PRAZERES;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22222;18/jun/25;R$ 837,20;jun/25;518970439;18/jun/25;18/jun/25;5024904;10/jul/25;25/jun/25;03/jul/25;03/jul/25;"Carga agendada #: 518970439    BRA IM 25 1988 - 1756  PP CC 175160000  CONTA CONTABIL 500210     Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;LSB2007;22217;18/jun/25;R$ 939,39;jun/25;518749263;18/jun/25;18/jun/25;5024899;10/jul/25;04/jul/25;16/jul/25;16/jul/25;"Carga agendada #: 518749263   BRA EX 25 0298-   PP 175037001  CONTA CONTABIL 500210 Veiculo Placa: LSB2007  -  Motorista: JOAM SANTOS DE SOUZA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KQO5E26;22376;25/jul/25;R$ 746,28;jul/25;523065934;25/jul/25;25/jul/25;;;31/jul/25;;;"Carga agendada #: 523065934  - BRA IM 25 2548  WS - CC 110141008- CONTA CONTABIL 500210;
Veiculo Placa: KQO5E26  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KQO5E26;22375;25/jul/25;R$ 726,05;jul/25;523065934;25/jul/25;25/jul/25;;;31/jul/25;;;"Carga agendada #: 523065934  - BRA IM 25 2416  CWI - CC 870151700  - CONTA CONTABIL 500210;
Veiculo Placa: KQO5E26  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KQO5E26;22374;25/jul/25;R$ 1.015,99;jul/25;523065934;25/jul/25;25/jul/25;;;31/jul/25;;;"Carga agendada #: 523065934  - BRA IM 25 2580- 2581- 2582  DS - CC 120158023  - CONTA CONTABIL 500210;
Veiculo Placa: KQO5E26  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22381;28/jul/25;R$ 1.675,72;jul/25;523276064;28/jul/25;28/jul/25;;;31/jul/25;;;"Carga agendada #: 523276064 - BRA IM 25 2648- 2403- 2626- 2639- 2414  PP - CC 175160000 - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22380;28/jul/25;R$ 761,71;jul/25;523276064;28/jul/25;28/jul/25;;;31/jul/25;;;"Carga agendada #: 523276064 - BRA IM 25 2014- 2552  WS - CC 110141008 - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22379;28/jul/25;R$ 920,15;jul/25;523276064;28/jul/25;28/jul/25;;;31/jul/25;;;"Carga agendada #: 523276064 - BRA IM 25 2438- 2031  ALS - CC 140010000 - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22378;28/jul/25;R$ 2.567,21;jul/25;523276064;28/jul/25;28/jul/25;;;31/jul/25;;;"Carga agendada #: 523276064  - BRA IM 25 2587- 2568- 2586- 2579- 2513- 2574- 2495- 2489- 2515  DS - CC 120158023  - CONTA CONTABIL 500210;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;965;02/jul/25;R$ 2.848,40;jul/25;;02/jul/25;02/jul/25;1633;17/jul/25;17/jul/25;16/jul/25;17/jul/25;"OC 965
Product line	DS
Cost center	220160033
GL Account	500210
Status	Invoice audited and approved
Email	fabrizio.carvalho@bakerhughes.com"
BAKER HUGHES DO BRASIL LTDA;KYN6481;964;25/jun/25;R$ 878,94;jul/25;;25/jun/25;25/jun/25;1632;17/jul/25;17/jul/25;16/jul/25;17/jul/25;"OC 964
Product line	OIC
Cost center	350090753
GL Account	500210
Status	Invoice audited and approved
Email	nicolassalvador.pucciarelli@bakerhughes.com"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;963;01/jul/25;R$ 532,76;jul/25;;01/jul/25;01/jul/25;1631;17/jul/25;17/jul/25;16/jul/25;17/jul/25;"OC 963
Product line	CWI
Cost center	170151600
GL Account	500210
Status	Invoice audited and approved
Email	fabrizio.carvalho@bakerhughes.com"
BAKER HUGHES DO BRASIL LTDA;KYN6481;962;26/jun/25;R$ 1.035,13;jun/25;;26/jun/25;26/jun/25;1630;17/jul/25;17/jul/25;16/jul/25;17/jul/25;"OC 962
Product line	PP
Cost center	175153302
GL Account	500210
Status	Invoice audited and approved
Email	Jose.Gomes@bakerhughes.com"
